Abroscopus albogularis,Rufous-faced Warbler
Abroscopus superciliaris,Yellow-bellied Warbler
Aburria aburri,Wattled Guan
Acanthagenys rufogularis,Spiny-cheeked Honeyeater
Acanthis cabaret,Lesser Redpoll
Acanthis flammea,Common Redpoll
Acanthis hornemanni,Hoary Redpoll
Acanthiza chrysorrhoa,Yellow-rumped Thornbill
Acanthiza ewingii,Tasmanian Thornbill
Acanthiza pusilla,Brown Thornbill
Acanthiza reguloides,Buff-rumped Thornbill
Acanthorhynchus tenuirostris,Eastern Spinebill
Accipiter badius,Shikra
Accipiter bicolor,Bicolored Hawk
Accipiter cooperii,Cooper's Hawk
Accipiter fasciatus,Brown Goshawk
Accipiter gentilis,Northern Goshawk
Accipiter nisus,Eurasian Sparrowhawk
Accipiter striatus,Sharp-shinned Hawk
Accipiter tachiro,African Goshawk
Acridotheres cristatellus,Crested Myna
Acridotheres fuscus,Jungle Myna
Acridotheres tristis,Common Myna
Acris crepitans,Northern Cricket Frog
Acris gryllus,Southern Cricket Frog
Acrocephalus agricola,Paddyfield Warbler
Acrocephalus arundinaceus,Great Reed Warbler
Acrocephalus australis,Australian Reed Warbler
Acrocephalus baeticatus,African Reed Warbler
Acrocephalus bistrigiceps,Black-browed Reed Warbler
Acrocephalus dumetorum,Blyth's Reed Warbler
Acrocephalus gracilirostris,Lesser Swamp Warbler
Acrocephalus melanopogon,Moustached Warbler
Acrocephalus orientalis,Oriental Reed Warbler
Acrocephalus paludicola,Aquatic Warbler
Acrocephalus palustris,Marsh Warbler
Acrocephalus schoenobaenus,Sedge Warbler
Acrocephalus scirpaceus,Eurasian Reed Warbler
Acrocephalus stentoreus,Clamorous Reed Warbler
Acropternis orthonyx,Ocellated Tapaculo
Actinodura strigula,Chestnut-tailed Minla
Actitis hypoleucos,Common Sandpiper
Actitis macularius,Spotted Sandpiper
Adelomyia melanogenys,Speckled Hummingbird
Aechmophorus clarkii,Clark's Grebe
Aechmophorus occidentalis,Western Grebe
Aegithalos caudatus,Long-tailed Tit
Aegithalos concinnus,Black-throated Tit
Aegithina nigrolutea,White-tailed Iora
Aegithina tiphia,Common Iora
Aegolius acadicus,Northern Saw-whet Owl
Aegolius funereus,Boreal Owl
Aegotheles cristatus,Australian Owlet-nightjar
Aeronautes saxatalis,White-throated Swift
Aethopyga christinae,Fork-tailed Sunbird
Aethopyga gouldiae,Mrs. Gould's Sunbird
Aethopyga nipalensis,Green-tailed Sunbird
Aethopyga saturata,Black-throated Sunbird
Aethopyga siparaja,Crimson Sunbird
Agapornis roseicollis,Rosy-faced Lovebird
Agelaioides badius,Grayish Baywing
Agelaius phoeniceus,Red-winged Blackbird
Agelaius tricolor,Tricolored Blackbird
Agelasticus thilius,Yellow-winged Blackbird
Ailuroedus crassirostris,Green Catbird
Ailuroedus maculosus,Spotted Catbird
Aimophila rufescens,Rusty Sparrow
Aimophila ruficeps,Rufous-crowned Sparrow
Aix galericulata,Mandarin Duck
Aix sponsa,Wood Duck
Akletos goeldii,Goeldi's Antbird
Akletos melanoceps,White-shouldered Antbird
Alauda arvensis,Eurasian Skylark
Alauda gulgula,Oriental Skylark
Alaudala cheleensis,Asian Short-toed Lark
Alaudala rufescens,Mediterranean Short-toed Lark
Alca torda,Razorbill
Alcedo atthis,Common Kingfisher
Alcippe brunneicauda,Brown Fulvetta
Alcippe morrisonia,Morrison's Fulvetta
Alcippe poioicephala,Brown-cheeked Fulvetta
Alectoris chukar,Chukar
Alectoris rufa,Red-legged Partridge
Alisterus scapularis,Australian King-Parrot
Allonemobius allardi,Allard's Ground Cricket
Allonemobius tinnulus,Tinkling Ground Cricket
Allonemobius walkeri,Walker's Ground Cricket
Alophoixus ochraceus,Ochraceous Bulbul
Alophoixus pallidus,Puff-throated Bulbul
Alophoixus phaeocephalus,Yellow-bellied Bulbul
Alopochen aegyptiaca,Egyptian Goose
Alouatta pigra,Mexican Black Howler Monkey
Amandava amandava,Red Avadavat
Amaurolimnas concolor,Uniform Crake
Amaurornis moluccana,Pale-vented Bush-hen
Amaurornis phoenicurus,White-breasted Waterhen
Amazilia rutila,Cinnamon Hummingbird
Amazilia tzacatl,Rufous-tailed Hummingbird
Amazilia yucatanensis,Buff-bellied Hummingbird
Amazona aestiva,Turquoise-fronted Parrot
Amazona albifrons,White-fronted Parrot
Amazona amazonica,Orange-winged Parrot
Amazona auropalliata,Yellow-naped Parrot
Amazona autumnalis,Red-lored Parrot
Amazona farinosa,Mealy Parrot
Amazona finschi,Lilac-crowned Parrot
Amazona mercenarius,Scaly-naped Parrot
Amazona ochrocephala,Yellow-crowned Parrot
Amazona oratrix,Yellow-headed Parrot
Amazona vinacea,Vinaceous-breasted Parrot
Amazona viridigenalis,Red-crowned Parrot
Amazonetta brasiliensis,Brazilian Teal
Amblycercus holosericeus,Yellow-billed Cacique
Amblycorypha alexanderi,Clicker Round-winged Katydid
Amblycorypha longinicta,Common Virtuoso Katydid
Amblycorypha oblongifolia,Oblong-winged Katydid
Amblycorypha rotundifolia,Rattler Round-winged Katydid
Amblyramphus holosericeus,Scarlet-headed Blackbird
Ammodramus aurifrons,Yellow-browed Sparrow
Ammodramus humeralis,Grassland Sparrow
Ammodramus savannarum,Grasshopper Sparrow
Ammospiza leconteii,LeConte's Sparrow
Ammospiza maritima,Seaside Sparrow
Ammospiza nelsoni,Nelson's Sparrow
Ampelioides tschudii,Scaled Fruiteater
Amphispiza bilineata,Black-throated Sparrow
Amphispizopsis quinquestriata,Five-striped Sparrow
Anabacerthia lichtensteini,Ochre-breasted Foliage-gleaner
Anabacerthia striaticollis,Montane Foliage-gleaner
Anabacerthia variegaticeps,Scaly-throated Foliage-gleaner
Anabazenops dorsalis,Dusky-cheeked Foliage-gleaner
Anabazenops fuscus,White-collared Foliage-gleaner
Anairetes parulus,Tufted Tit-Tyrant
Anas acuta,Northern Pintail
Anas crecca,Green-winged Teal
Anas diazi,Mexican Duck
Anas flavirostris,Yellow-billed Teal
Anas platyrhynchos,Mallard
Anas poecilorhyncha,Indian Spot-billed Duck
Anas rubripes,American Black Duck
Anaxipha exigua,Say's Trig
Anaxyrus americanus,American Toad
Anaxyrus canorus,Yosemite Toad
Anaxyrus cognatus,Great Plains Toad
Anaxyrus fowleri,Fowler's Toad
Anaxyrus houstonensis,Houston Toad
Anaxyrus microscaphus,Arizona Toad
Anaxyrus quercicus,Oak Toad
Anaxyrus speciosus,Texas Toad
Anaxyrus terrestris,Southern Toad
Anaxyrus woodhousii,Woodhouse's Toad
Andigena hypoglauca,Gray-breasted Mountain-Toucan
Andigena laminirostris,Plate-billed Mountain-Toucan
Andigena nigrirostris,Black-billed Mountain-Toucan
Andropadus importunus,Sombre Greenbul
Anhima cornuta,Horned Screamer
Anhinga anhinga,Anhinga
Anisognathus igniventris,Scarlet-bellied Mountain Tanager
Anisognathus somptuosus,Blue-winged Mountain Tanager
Anodorhynchus hyacinthinus,Hyacinth Macaw
Anous minutus,Black Noddy
Anous stolidus,Brown Noddy
Anser albifrons,Greater White-fronted Goose
Anser anser,Graylag Goose
Anser brachyrhynchus,Pink-footed Goose
Anser caerulescens,Snow Goose
Anser fabalis,Taiga Bean-Goose
Anser rossii,Ross's Goose
Anser serrirostris,Tundra Bean-Goose
Anthipes monileger,White-gorgeted Flycatcher
Anthochaera carunculata,Red Wattlebird
Anthochaera chrysoptera,Little Wattlebird
Anthochaera phrygia,Regent Honeyeater
Anthornis melanura,New Zealand Bellbird
Anthracoceros albirostris,Oriental Pied-Hornbill
Anthreptes malacensis,Brown-throated Sunbird
Anthus campestris,Tawny Pipit
Anthus cervinus,Red-throated Pipit
Anthus cinnamomeus,African Pipit
Anthus correndera,Correndera Pipit
Anthus godlewskii,Blyth's Pipit
Anthus hellmayri,Hellmayr's Pipit
Anthus hodgsoni,Olive-backed Pipit
Anthus lutescens,Yellowish Pipit
Anthus petrosus,Rock Pipit
Anthus pratensis,Meadow Pipit
Anthus richardi,Richard's Pipit
Anthus rubescens,American Pipit
Anthus rufulus,Paddyfield Pipit
Anthus similis,Long-billed Pipit
Anthus spinoletta,Water Pipit
Anthus spragueii,Sprague's Pipit
Anthus trivialis,Tree Pipit
Antigone antigone,Sarus Crane
Antigone canadensis,Sandhill Crane
Antilophia galeata,Helmeted Manakin
Antrostomus arizonae,Mexican Whip-poor-will
Antrostomus carolinensis,Chuck-will's-widow
Antrostomus ridgwayi,Buff-collared Nightjar
Antrostomus rufus,Rufous Nightjar
Antrostomus saturatus,Dusky Nightjar
Antrostomus vociferus,Eastern Whip-poor-will
Anumbius annumbi,Firewood-gatherer
Anurolimnas viridis,Russet-crowned Crake
Apalis cinerea,Gray Apalis
Apalis flavida,Yellow-breasted Apalis
Apalis melanocephala,Black-headed Apalis
Apalis thoracica,Bar-throated Apalis
Apaloderma narina,Narina Trogon
Apaloderma vittatum,Bar-tailed Trogon
Aphelocoma californica,California Scrub-Jay
Aphelocoma coerulescens,Florida Scrub-Jay
Aphelocoma unicolor,Unicolored Jay
Aphelocoma wollweberi,Mexican Jay
Aphelocoma woodhouseii,Woodhouse's Scrub-Jay
Aphrastura spinicauda,Thorn-tailed Rayadito
Apis mellifera,Honey Bee
Aplonis metallica,Metallic Starling
Aplonis panayensis,Asian Glossy Starling
Apus affinis,Little Swift
Apus apus,Common Swift
Apus melba,Alpine Swift
Apus pallidus,Pallid Swift
Aquila chrysaetos,Golden Eagle
Ara ararauna,Blue-and-yellow Macaw
Ara chloropterus,Red-and-green Macaw
Ara macao,Scarlet Macaw
Ara militaris,Military Macaw
Ara severus,Chestnut-fronted Macaw
Arachnothera longirostra,Little Spiderhunter
Arachnothera magna,Streaked Spiderhunter
Aramides cajaneus,Gray-cowled Wood-Rail
Aramides saracura,Slaty-breasted Wood-Rail
Aramides ypecaha,Giant Wood-Rail
Aramus guarauna,Limpkin
Aratinga nenday,Nanday Parakeet
Aratinga weddellii,Dusky-headed Parakeet
Arborophila rufogularis,Rufous-throated Partridge
Arborophila torqueola,Hill Partridge
Archilochus alexandri,Black-chinned Hummingbird
Archilochus colubris,Ruby-throated Hummingbird
Ardea alba,Great Egret
Ardea cinerea,Gray Heron
Ardea cocoi,Cocoi Heron
Ardea herodias,Great Blue Heron
Ardea purpurea,Purple Heron
Ardenna grisea,Sooty Shearwater
Ardenna pacifica,Wedge-tailed Shearwater
Ardenna tenuirostris,Short-tailed Shearwater
Ardeola ralloides,Squacco Heron
Arenaria interpres,Ruddy Turnstone
Arenaria melanocephala,Black Turnstone
Argya affinis,Yellow-billed Babbler
Argya caudata,Common Babbler
Argya malcolmi,Large Gray Babbler
Argya striata,Jungle Babbler
Argya subrufa,Rufous Babbler
Arremon assimilis,Gray-browed Brushfinch
Arremon atricapillus,Black-headed Brushfinch
Arremon aurantiirostris,Orange-billed Sparrow
Arremon brunneinucha,Chestnut-capped Brushfinch
Arremon flavirostris,Saffron-billed Sparrow
Arremon semitorquatus,Half-collared Sparrow
Arremon taciturnus,Pectoral Sparrow
Arremon virenticeps,Green-striped Brushfinch
Arremonops chloronotus,Green-backed Sparrow
Arremonops conirostris,Black-striped Sparrow
Arremonops rufivirgatus,Olive Sparrow
Artamus fuscus,Ashy Woodswallow
Artamus leucorynchus,White-breasted Woodswallow
Artemisiospiza belli,Bell's Sparrow
Artemisiospiza nevadensis,Sagebrush Sparrow
Arundinax aedon,Thick-billed Warbler
Asemospiza fuliginosa,Sooty Grassquit
Asemospiza obscura,Dull-colored Grassquit
Asio clamator,Striped Owl
Asio flammeus,Short-eared Owl
Asio otus,Long-eared Owl
Asio stygius,Stygian Owl
Aspatha gularis,Blue-throated Motmot
Asthenes baeri,Short-billed Canastero
Asthenes dorbignyi,Creamy-breasted Canastero
Asthenes flammulata,Many-striped Canastero
Asthenes fuliginosa,White-chinned Thistletail
Asthenes modesta,Cordilleran Canastero
Asthenes pyrrholeuca,Sharp-billed Canastero
Asthenes wyatti,Streak-backed Canastero
Atalotriccus pilaris,Pale-eyed Pygmy-Tyrant
Athene brama,Spotted Owlet
Athene cunicularia,Burrowing Owl
Athene noctua,Little Owl
Atlanticus testaceus,Protean Shieldback
Atlapetes albinucha,White-naped Brushfinch
Atlapetes albofrenatus,Moustached Brushfinch
Atlapetes flaviceps,Yellow-headed Brushfinch
Atlapetes latinuchus,Yellow-breasted Brushfinch
Atlapetes pallidinucha,Pale-naped Brushfinch
Atlapetes pileatus,Rufous-capped Brushfinch
Atlapetes schistaceus,Slaty Brushfinch
Atlapetes tricolor,Tricolored Brushfinch
Attagis gayi,Rufous-bellied Seedsnipe
Atticora fasciata,White-banded Swallow
Attila bolivianus,Dull-capped Attila
Attila cinnamomeus,Cinnamon Attila
Attila citriniventris,Citron-bellied Attila
Attila phoenicurus,Rufous-tailed Attila
Attila rufus,Gray-hooded Attila
Attila spadiceus,Bright-rumped Attila
Aulacorhynchus albivitta,Southern Emerald-Toucanet
Aulacorhynchus haematopygus,Crimson-rumped Toucanet
Aulacorhynchus prasinus,Northern Emerald-Toucanet
Aulacorhynchus sulcatus,Groove-billed Toucanet
Auriparus flaviceps,Verdin
Automolus infuscatus,Olive-backed Foliage-gleaner
Automolus leucophthalmus,White-eyed Foliage-gleaner
Automolus ochrolaemus,Buff-throated Foliage-gleaner
Automolus rufipileatus,Chestnut-crowned Foliage-gleaner
Automolus subulatus,Striped Woodhaunter
Aythya affinis,Lesser Scaup
Aythya collaris,Ring-necked Duck
Aythya ferina,Common Pochard
Aythya fuligula,Tufted Duck
Aythya marila,Greater Scaup
Aythya valisineria,Canvasback
Baeolophus atricristatus,Black-crested Titmouse
Baeolophus bicolor,Tufted Titmouse
Baeolophus inornatus,Oak Titmouse
Baeolophus ridgwayi,Juniper Titmouse
Baeolophus wollweberi,Bridled Titmouse
Baeopogon indicator,Honeyguide Greenbul
Bambusicola sonorivox,Taiwan Bamboo-Partridge
Barnardius zonarius,Australian Ringneck
Bartramia longicauda,Upland Sandpiper
Baryphthengus martii,Rufous Motmot
Baryphthengus ruficapillus,Rufous-capped Motmot
Basileuterus belli,Golden-browed Warbler
Basileuterus culicivorus,Golden-crowned Warbler
Basileuterus delattrii,Chestnut-capped Warbler
Basileuterus lachrymosus,Fan-tailed Warbler
Basileuterus rufifrons,Rufous-capped Warbler
Basileuterus tristriatus,Three-striped Warbler
Basilinna leucotis,White-eared Hummingbird
Batara cinerea,Giant Antshrike
Batis capensis,Cape Batis
Batis molitor,Chinspot Batis
Batrachostomus moniliger,Sri Lanka Frogmouth
Berlepschia rikeri,Point-tailed Palmcreeper
Bleda syndactylus,Red-tailed Bristlebill
Blythipicus pyrrhotis,Bay Woodpecker
Blythipicus rubiginosus,Maroon Woodpecker
Bolborhynchus lineola,Barred Parakeet
Bombycilla cedrorum,Cedar Waxwing
Bombycilla garrulus,Bohemian Waxwing
Bonasa umbellus,Ruffed Grouse
Bostrychia hagedash,Hadada Ibis
Botaurus lentiginosus,American Bittern
Botaurus stellaris,Great Bittern
Brachygalba lugubris,Brown Jacamar
Brachypodius priocephalus,Gray-headed Bulbul
Brachypteryx leucophris,Lesser Shortwing
Brachypteryx montana,White-browed Shortwing
Brachyramphus marmoratus,Marbled Murrelet
Bradypterus barratti,Barratt's Warbler
Bradypterus cinnamomeus,Cinnamon Bracken-Warbler
Branta bernicla,Brant
Branta canadensis,Canada Goose
Branta hutchinsii,Cackling Goose
Branta leucopsis,Barnacle Goose
Branta sandvicensis,Hawaiian Goose
Brotogeris chiriri,Yellow-chevroned Parakeet
Brotogeris chrysoptera,Golden-winged Parakeet
Brotogeris cyanoptera,Cobalt-winged Parakeet
Brotogeris jugularis,Orange-chinned Parakeet
Brotogeris sanctithomae,Tui Parakeet
Brotogeris tirica,Plain Parakeet
Bubo africanus,Spotted Eagle-Owl
Bubo bubo,Eurasian Eagle-Owl
Bubo lacteus,Verreaux's Eagle-Owl
Bubo virginianus,Great Horned Owl
Bubulcus ibis,Cattle Egret
Bucanetes githagineus,Trumpeter Finch
Bucco capensis,Collared Puffbird
Bucco tamatia,Spotted Puffbird
Bucephala albeola,Bufflehead
Bucephala clangula,Common Goldeneye
Buceros bicornis,Great Hornbill
Buceros rhinoceros,Rhinoceros Hornbill
Bulweria bulwerii,Bulwer's Petrel
Buphagus erythrorynchus,Red-billed Oxpecker
Burhinus grallarius,Bush Thick-knee
Burhinus indicus,Indian Thick-knee
Burhinus oedicnemus,Eurasian Thick-knee
Busarellus nigricollis,Black-collared Hawk
Buteo albonotatus,Zone-tailed Hawk
Buteo brachyurus,Short-tailed Hawk
Buteo buteo,Common Buzzard
Buteo jamaicensis,Red-tailed Hawk
Buteo lineatus,Red-shouldered Hawk
Buteo nitidus,Gray-lined Hawk
Buteo plagiatus,Gray Hawk
Buteo platypterus,Broad-winged Hawk
Buteo solitarius,Hawaiian Hawk
Buteo swainsoni,Swainson's Hawk
Buteogallus anthracinus,Common Black Hawk
Buteogallus meridionalis,Savanna Hawk
Buteogallus schistaceus,Slate-colored Hawk
Buteogallus urubitinga,Great Black Hawk
Buthraupis montana,Hooded Mountain Tanager
Butorides striata,Striated Heron
Butorides virescens,Green Heron
Bycanistes brevis,Silvery-cheeked Hornbill
Bycanistes bucinator,Trumpeter Hornbill
Bycanistes subcylindricus,Black-and-white-casqued Hornbill
Cacatua galerita,Sulphur-crested Cockatoo
Cacatua goffiniana,Tanimbar Corella
Cacatua sanguinea,Little Corella
Cacicus cela,Yellow-rumped Cacique
Cacicus chrysonotus,Mountain Cacique
Cacicus chrysopterus,Golden-winged Cacique
Cacicus haemorrhous,Red-rumped Cacique
Cacicus oseryi,Casqued Cacique
Cacicus solitarius,Solitary Black Cacique
Cacicus uropygialis,Scarlet-rumped Cacique
Cacomantis flabelliformis,Fan-tailed Cuckoo
Cacomantis merulinus,Plaintive Cuckoo
Cacomantis pallidus,Pallid Cuckoo
Cacomantis passerinus,Gray-bellied Cuckoo
Cacomantis sonneratii,Banded Bay Cuckoo
Cacomantis variolosus,Brush Cuckoo
Calamospiza melanocorys,Lark Bunting
Calandrella brachydactyla,Greater Short-toed Lark
Calandrella cinerea,Red-capped Lark
Calcarius lapponicus,Lapland Longspur
Calcarius ornatus,Chestnut-collared Longspur
Calcarius pictus,Smith's Longspur
Calendulauda sabota,Sabota Lark
Calicalicus madagascariensis,Red-tailed Vanga
Calidris acuminata,Sharp-tailed Sandpiper
Calidris alba,Sanderling
Calidris alpina,Dunlin
Calidris bairdii,Baird's Sandpiper
Calidris canutus,Red Knot
Calidris ferruginea,Curlew Sandpiper
Calidris fuscicollis,White-rumped Sandpiper
Calidris himantopus,Stilt Sandpiper
Calidris maritima,Purple Sandpiper
Calidris mauri,Western Sandpiper
Calidris melanotos,Pectoral Sandpiper
Calidris minuta,Little Stint
Calidris minutilla,Least Sandpiper
Calidris pugnax,Ruff
Calidris pusilla,Semipalmated Sandpiper
Calidris subruficollis,Buff-breasted Sandpiper
Calidris temminckii,Temminck's Stint
Caligavis chrysops,Yellow-faced Honeyeater
Calliope calliope,Siberian Rubythroat
Callipepla californica,California Quail
Callipepla douglasii,Elegant Quail
Callipepla gambelii,Gambel's Quail
Callipepla squamata,Scaled Quail
Calocitta colliei,Black-throated Magpie-Jay
Calocitta formosa,White-throated Magpie-Jay
Calonectris diomedea,Cory's Shearwater
Calypte anna,Anna's Hummingbird
Calypte costae,Costa's Hummingbird
Calyptomena viridis,Green Broadbill
Calyptorhynchus banksii,Red-tailed Black-Cockatoo
Calyptorhynchus funereus,Yellow-tailed Black-Cockatoo
Camaroptera brachyura,Green-backed Camaroptera
Campephaga flava,Black Cuckooshrike
Campephilus guatemalensis,Pale-billed Woodpecker
Campephilus haematogaster,Crimson-bellied Woodpecker
Campephilus magellanicus,Magellanic Woodpecker
Campephilus melanoleucos,Crimson-crested Woodpecker
Campephilus pollens,Powerful Woodpecker
Campephilus robustus,Robust Woodpecker
Campephilus rubricollis,Red-necked Woodpecker
Campethera nubica,Nubian Woodpecker
Camptostoma imberbe,Northern Beardless-Tyrannulet
Camptostoma obsoletum,Southern Beardless-Tyrannulet
Campylopterus hemileucurus,Violet Sabrewing
Campylorhamphus falcularius,Black-billed Scythebill
Campylorhamphus pusillus,Brown-billed Scythebill
Campylorhamphus trochilirostris,Red-billed Scythebill
Campylorhynchus brunneicapillus,Cactus Wren
Campylorhynchus fasciatus,Fasciated Wren
Campylorhynchus griseus,Bicolored Wren
Campylorhynchus megalopterus,Gray-barred Wren
Campylorhynchus rufinucha,Rufous-naped Wren
Campylorhynchus turdinus,Thrush-like Wren
Campylorhynchus zonatus,Band-backed Wren
Canachites canadensis,Spruce Grouse
Canis latrans,Coyote
Canis lupus,Gray Wolf
Cantorchilus elutus,Isthmian Wren
Cantorchilus guarayanus,Fawn-breasted Wren
Cantorchilus leucotis,Buff-breasted Wren
Cantorchilus longirostris,Long-billed Wren
Cantorchilus modestus,Cabanis's Wren
Cantorchilus nigricapillus,Bay Wren
Cantorchilus semibadius,Riverside Wren
Cantorchilus superciliaris,Superciliated Wren
Cantorchilus thoracicus,Stripe-breasted Wren
Capito auratus,Gilded Barbet
Caprimulgus affinis,Savanna Nightjar
Caprimulgus asiaticus,Indian Nightjar
Caprimulgus atripennis,Jerdon's Nightjar
Caprimulgus europaeus,Eurasian Nightjar
Caprimulgus indicus,Jungle Nightjar
Caprimulgus jotaka,Gray Nightjar
Caprimulgus macrurus,Large-tailed Nightjar
Caprimulgus pectoralis,Fiery-necked Nightjar
Caprimulgus ruficollis,Red-necked Nightjar
Capsiempis flaveola,Yellow Tyrannulet
Caracara plancus,Crested Caracara
Cardellina canadensis,Canada Warbler
Cardellina pusilla,Wilson's Warbler
Cardellina rubra,Red Warbler
Cardellina rubrifrons,Red-faced Warbler
Cardinalis cardinalis,Northern Cardinal
Cardinalis sinuatus,Pyrrhuloxia
Carduelis carduelis,European Goldfinch
Carduelis citrinella,Citril Finch
Cariama cristata,Red-legged Seriema
