IN FILE,CLIP LENGTH,OFFSET,DURATION,MAX FREQ,MIN FREQ,SAMPLE RATE,MANUAL ID,TIME_SPENT,LAST MOD BY,CONFIDENCE,RETIRED,COUNTED
XC23899_-_White-vented_Shama_-_Copsychus_niger.mp3,61.1034,1.1839,1.3399,24000,0,48000,White-vented Shama,141.864,spres 07/25/2022-16:21:48,0.577908,false,0
XC23899_-_White-vented_Shama_-_Copsychus_niger.mp3,61.1034,6.9715,1.5479,24000,0,48000,White-vented Shama,141.864,spres 07/25/2022-16:21:48,0.577908,false,0
XC23899_-_White-vented_Shama_-_Copsychus_niger.mp3,61.1034,8.8594,0.45,24000,0,48000,White-vented Shama,141.864,spres 07/25/2022-16:21:48,0.577908,false,0
XC23899_-_White-vented_Shama_-_Copsychus_niger.mp3,61.1034,9.9393,1.08,24000,0,48000,White-vented Shama,141.864,spres 07/25/2022-16:21:48,0.577908,false,0
XC23899_-_White-vented_Shama_-_Copsychus_niger.mp3,61.1034,15.189,0.9299,24000,0,48000,White-vented Shama,141.864,spres 07/25/2022-16:21:48,0.577908,false,0
XC23899_-_White-vented_Shama_-_Copsychus_niger.mp3,61.1034,14.1891,0.5199,24000,0,48000,White-vented Shama,141.864,spres 07/25/2022-16:21:48,0.577908,false,0
XC23899_-_White-vented_Shama_-_Copsychus_niger.mp3,61.1034,17.8688,1.3199,24000,0,48000,White-vented Shama,141.864,spres 07/25/2022-16:21:48,0.577908,false,0
XC23899_-_White-vented_Shama_-_Copsychus_niger.mp3,61.1034,21.5986,0.7899,24000,0,48000,White-vented Shama,141.864,spres 07/25/2022-16:21:48,0.577908,false,0
XC23899_-_White-vented_Shama_-_Copsychus_niger.mp3,61.1034,25.1823,1.5999,24000,0,48000,White-vented Shama,141.864,spres 07/25/2022-16:21:48,0.577908,false,0
XC23899_-_White-vented_Shama_-_Copsychus_niger.mp3,61.1034,28.6421,1.9499,24000,0,48000,White-vented Shama,141.864,spres 07/25/2022-16:21:48,0.577908,false,0
XC23899_-_White-vented_Shama_-_Copsychus_niger.mp3,61.1034,34.2997,1.5399,24000,0,48000,White-vented Shama,141.864,spres 07/25/2022-16:21:48,0.577908,false,0
XC23899_-_White-vented_Shama_-_Copsychus_niger.mp3,61.1034,38.1775,0.9699,24000,0,48000,White-vented Shama,141.864,spres 07/25/2022-16:21:48,0.577908,false,0
XC23899_-_White-vented_Shama_-_Copsychus_niger.mp3,61.1034,39.7874,1.0099,24000,0,48000,White-vented Shama,141.864,spres 07/25/2022-16:21:48,0.577908,false,0
XC23899_-_White-vented_Shama_-_Copsychus_niger.mp3,61.1034,41.5773,1.0499,24000,0,48000,White-vented Shama,141.864,spres 07/25/2022-16:21:48,0.577908,false,0
