,Unnamed: 0,OFFSET,DURATION,FOLDER,IN FILE,CHANNEL,CLIP LENGTH,SAMPLE RATE,MANUAL ID,CONFIDENCE,END_TIME,SPLIT,FILEKEY,START_TIME
0,0,0.5581395348837209,1.7674418604651163,./cosmos_random_sample_processing/,XC100864 - Rufous-collared Sparrow - Zonotrichia capensis costaricensis.mp3,0,9.299591836734692,44100,Zonotrichia capensis,0.9144951031831772,2.3255813953488373,,XC100864,0.5581395348837209
1,1,4.325581395348837,0.09302325581395365,./cosmos_random_sample_processing/,XC100864 - Rufous-collared Sparrow - Zonotrichia capensis costaricensis.mp3,0,9.299591836734692,44100,Zonotrichia capensis,0.1575878574141511,4.4186046511627906,,XC100864,4.325581395348837
2,2,6.046511627906977,2.953488372093023,./cosmos_random_sample_processing/,XC100864 - Rufous-collared Sparrow - Zonotrichia capensis costaricensis.mp3,0,9.299591836734692,44100,Zonotrichia capensis,1.0,9.0,"[6.046511627906977, 9]",XC100864,6.046511627906977
3,2,9.0,3.0,./cosmos_random_sample_processing/,XC100864 - Rufous-collared Sparrow - Zonotrichia capensis costaricensis.mp3,0,9.299591836734692,44100,bird,1.0,12.0,"[9, 12]",XC100864,9.0
4,2,12.0,2.046511627906977,./cosmos_random_sample_processing/,XC100864 - Rufous-collared Sparrow - Zonotrichia capensis costaricensis.mp3,0,9.299591836734692,44100,bird,1.0,14.046511627906977,"[12, 14.046511627906977]",XC100864,12.0
5,3,1.441860465116279,0.558139534883721,./cosmos_random_sample_processing/,XC101469 - Pale-breasted Thrush - Turdus leucomelas.mp3,0,137.37795918367348,44100,Mimus gilvus,0.7430047703277164,2.0,,XC101469,1.441860465116279
6,4,2.0,0.2325581395348837,./cosmos_random_sample_processing/,XC101469 - Pale-breasted Thrush - Turdus leucomelas.mp3,0,137.37795918367348,44100,Mimus gilvus,0.706070577891069,2.2325581395348837,,XC101469,2.0
7,5,4.372093023255814,1.558139534883721,./cosmos_random_sample_processing/,XC101469 - Pale-breasted Thrush - Turdus leucomelas.mp3,0,137.37795918367348,44100,Mimus gilvus,0.842912218947719,5.930232558139535,,XC101469,4.372093023255814
8,6,7.023255813953488,0.9767441860465116,./cosmos_random_sample_processing/,XC101469 - Pale-breasted Thrush - Turdus leucomelas.mp3,0,137.37795918367348,44100,Turdus leucomelas,0.87148572297198,8.0,,XC101469,7.023255813953488
9,7,8.604651162790697,0.04651162790697683,./cosmos_random_sample_processing/,XC101469 - Pale-breasted Thrush - Turdus leucomelas.mp3,0,137.37795918367348,44100,Turdus leucomelas,0.2572949125965539,8.651162790697674,,XC101469,8.604651162790697
10,8,8.651162790697674,0.27906976744186096,./cosmos_random_sample_processing/,XC101469 - Pale-breasted Thrush - Turdus leucomelas.mp3,0,137.37795918367348,44100,Turdus leucomelas,0.50781031045921,8.930232558139535,,XC101469,8.651162790697674
