,Folder,Clip,Human_Bird_Label,Microfaune_Global_Score
0,WWF5_samples_split,5D2C0D00_5.WAV,y,0.009371399879455566
1,WWF5_samples_split,5D208AE8_13.WAV,n,0.025480449199676514
2,WWF5_samples_split,5D28A2C8_0.WAV,n,0.00894850492477417
3,WWF5_samples_split,5D208AE8_10.WAV,y,0.058999449014663696
4,WWF5_samples_split,5D2C0D00_8.WAV,y,0.010461896657943726
5,WWF5_samples_split,5D2C0D00_4.WAV,y,0.007338017225265503
6,WWF5_samples_split,5D2C0D00_0.WAV,n,0.00763934850692749
7,WWF5_samples_split,5D1F0128_16.WAV,n,0.010042369365692139
8,WWF5_samples_split,5D208AE8_6.WAV,n,0.04459273815155029
9,WWF5_samples_split,5D285ED0_1.WAV,n,0.32806992530822754
10,WWF5_samples_split,5D29ED40_4.WAV,n,0.0606781542301178
11,WWF5_samples_split,5D2C0D00_3.WAV,n,0.006623983383178711
12,WWF5_samples_split,5D223320_16.WAV,n,0.019655883312225342
13,WWF5_samples_split,5D169290_18.WAV,n,0.026155024766921997
14,WWF5_samples_split,5D169290_2.WAV,n,0.017730504274368286
15,WWF5_samples_split,5D1EDBA8_3.WAV,n,0.009353458881378174
16,WWF5_samples_split,5D169998_19.WAV,n,0.007937729358673096
17,WWF5_samples_split,5D169998_18.WAV,n,0.011714130640029907
18,WWF5_samples_split,5D22E9F0_8.WAV,n,0.13401827216148376
19,WWF5_samples_split,5D169998_13.WAV,y,0.0241660475730896
20,WWF5_samples_split,5D169998_4.WAV,n,0.007305264472961426
21,WWF5_samples_split,5D1524F0_8.WAV,n,0.016525596380233765
22,WWF5_samples_split,5D1524F0_11.WAV,n,0.8621559143066406
23,WWF5_samples_split,5D22E9F0_11.WAV,n,0.3812543749809265
24,WWF5_samples_split,5D1B1608_5.WAV,n,0.007722765207290649
25,WWF5_samples_split,5D29ED40_13.WAV,n,0.026210665702819824
26,WWF5_samples_split,5D1EDBA8_2.WAV,n,0.008170753717422485
