IN FILE,CLIP LENGTH,OFFSET,DURATION,MAX FREQ,MIN FREQ,SAMPLE RATE,MANUAL ID,TIME_SPENT,LAST MOD BY,LAST MOD DATE
20210810_202000.WAV,60,49.4567,0.13,24000,0,384000,1 Birds,84.038,JacobGlennAyers 09/15/2021, 04:04:15
20210811_080000.WAV,60,0.3191,4.6492,24000,0,384000,Common Poorwill,151.435,kdickey 09/08/2021, 02:51:59
20210811_181000.WAV,60,2.34,0.59,24000,0,384000,1 Birds,43.926,JacobGlennAyers 09/15/2021, 04:05:04
20210811_181000.WAV,60,6,0.45,24000,0,384000,American Crow,43.941,JacobGlennAyers 09/15/2021, 04:05:04
20210812_073000.WAV,60,58.43,1.56,24000,0,384000,1 No Birds,86.32,JacobGlennAyers 09/15/2021, 04:06:33
20210815_134000.WAV,60,15.43,0.74,24000,0,384000,1 Birds,222.177,arathbone 09/26/2021, 00:59:24
20210815_134000.WAV,60,47.91,4.91,24000,0,384000,California Thrasher,142.806,arathbone 09/26/2021, 00:59:24
20210815_134000.WAV,60,27.45,1.1,24000,0,384000,Spotted Towhee,142.803,arathbone 09/26/2021, 00:59:24
20210815_134000.WAV,60,33.02,1.35,24000,0,384000,Spotted Towhee,142.804,arathbone 09/26/2021, 00:59:24
20210815_134000.WAV,60,1.76,5.01,24000,0,384000,Northern Mockingbird,2153.53,arathbone 09/26/2021, 01:32:55
20210815_134000.WAV,60,47.13,0.73,24000,0,384000,Spotted Towhee,2153.53,arathbone 09/26/2021, 01:32:55
20210815_134000.WAV,60,38.05,3.13,24000,0,384000,Northern Mockingbird,2153.53,arathbone 09/26/2021, 01:32:55
20210815_134000.WAV,60,22.19,3.46,24000,0,384000,Northern Mockingbird,2153.53,arathbone 09/26/2021, 01:32:55
20210816_005000.WAV,60,0.22,0.19,24000,0,384000,California Towhee,36.171,JacobGlennAyers 09/15/2021, 03:50:48
20210816_005000.WAV,60,0.67,0.21,24000,0,384000,California Gull,36.176,JacobGlennAyers 09/15/2021, 03:50:48
20210817_103000.WAV,60,57.86,2.11,24000,0,384000,1 No Birds,106.381,JacobGlennAyers 09/15/2021, 03:52:38
20210817_143000.WAV,60,5.1367,0.81,24000,0,384000,1 Birds,42.303,JacobGlennAyers 09/15/2021, 03:53:22
20210817_143000.WAV,60,0.77,0.54,24000,0,384000,California Thrasher,42.289,JacobGlennAyers 09/15/2021, 03:53:22
20210818_023000.WAV,60,57.54,0.5,24000,0,384000,California Gnatcatcher,350.585,JacobGlennAyers 09/15/2021, 03:59:16
20210818_023000.WAV,60,1.47,0.3,24000,0,384000,California Thrasher,350.57,JacobGlennAyers 09/15/2021, 03:59:16
20210818_062000.WAV,60,59.13,0.85,24000,0,384000,1 No Birds,160.823,JacobGlennAyers 09/15/2021, 04:01:59
20210818_151000.WAV,60,0.03,0.76,24000,0,384000,1 Birds,40.277,JacobGlennAyers 09/15/2021, 04:02:49
20210818_151000.WAV,60,4.9,0.77,24000,0,384000,American Crow,40.289,JacobGlennAyers 09/15/2021, 04:02:49
20210818_220000.WAV,60,0.4891,5.2891,24000,0,384000,1 Birds,125.644,kdickey 09/07/2021, 21:33:06
20210819_090000.WAV,60,29.43,0.62,24000,0,384000,1 Birds,95.423,JacobGlennAyers 09/15/2021, 03:37:10
20210819_090000.WAV,60,0.5,0.65,24000,0,384000,Common Poorwill,95.407,JacobGlennAyers 09/15/2021, 03:37:10
20210819_192000.WAV,60,1.9,0.25,24000,0,384000,American Crow,85.208,JacobGlennAyers 09/15/2021, 03:38:36
20210819_230000.WAV,60,9.5467,0.24,24000,0,384000,California Towhee,142.995,JacobGlennAyers 09/15/2021, 03:41:03
20210819_230000.WAV,60,30.57,0.44,24000,0,384000,1 Birds,143.011,JacobGlennAyers 09/15/2021, 03:41:03
20210820_012000.WAV,60,6.41,0.28,24000,0,384000,1 Birds,276.001,JacobGlennAyers 09/15/2021, 03:45:41
20210821_033000.WAV,60,1.12,0.54,24000,0,384000,Common Poorwill,81.455,JacobGlennAyers 09/15/2021, 03:50:09
20210821_050000.WAV,60,58.4567,1.5433,24000,0,384000,1 No Birds,91.105,JacobGlennAyers 09/15/2021, 03:19:20
20210821_112000.WAV,60,5.79,0.59,24000,0,384000,Common Poorwill,95.681,JacobGlennAyers 09/15/2021, 03:20:57
20210821_122000.WAV,60,0.77,0.58,24000,0,384000,Common Poorwill,82.963,JacobGlennAyers 09/15/2021, 03:22:23
20210821_211000.WAV,60,58.4367,1.5633,24000,0,384000,1 No Birds,98.729,JacobGlennAyers 09/15/2021, 03:24:03
20210822_173000.WAV,60,6.41,0.28,24000,0,384000,California Towhee,153.088,JacobGlennAyers 09/15/2021, 03:26:53
20210822_173000.WAV,60,10.96,0.27,24000,0,384000,1 Birds,153.104,JacobGlennAyers 09/15/2021, 03:26:53
20210823_043000.WAV,60,0.75,0.58,24000,0,384000,Common Poorwill,304.072,JacobGlennAyers 09/15/2021, 03:32:00
20210824_160000.WAV,60,0.86,0.45,24000,0,384000,1 Birds,208.612,JacobGlennAyers 09/15/2021, 03:35:32
20210824_160000.WAV,60,16.71,0.39,24000,0,384000,1 Birds,208.622,JacobGlennAyers 09/15/2021, 03:35:32
20210824_160000.WAV,60,32.83,0.94,24000,0,384000,California Thrasher,208.626,JacobGlennAyers 09/15/2021, 03:35:32
20210824_160000.WAV,60,28.8967,0.28,24000,0,384000,1 Birds,208.624,JacobGlennAyers 09/15/2021, 03:35:32
20210824_160000.WAV,60,11.44,0.34,24000,0,384000,1 Birds,208.62,JacobGlennAyers 09/15/2021, 03:35:32
20210811_224000.WAV,60,1.7489,8.8585,24000,0,384000,1 Birds,93.549,kdickey 09/09/2021, 00:40:45
20210811_224000.WAV,60,11.1473,8.3086,24000,0,384000,1 Birds,124.601,kdickey 09/09/2021, 00:41:16
20210812_005000.WAV,60,4.3367,0.32,24000,0,384000,1 Birds,70.788,JacobGlennAyers 09/15/2021, 03:17:46
20210812_005000.WAV,60,5.27,1.02,24000,0,384000,Glaucus-winged Gull,70.793,JacobGlennAyers 09/15/2021, 03:17:46
